,location_name,location_region,res_date,res_type,res_address,res_price,res_price_sqr,res_sqr,construction_year,levels,bedrooms,bathrooms,deleted,deleted_at,status,energyclass,auto_heating,solar,cooling,safe_door,gas,fireplace,furniture,student,parking,parking_flag,days_up
0,Παλαιό Φάληρο,Αττική,2021-06-18,Διαμέρισμα,"Παλαιό Φάληρο,Γήπεδα",89000,1618.0,55.0,1973.0,Υπερυψωμένο,1.0,1.0,1,2022-04-05,Ανακαινισμένο,Δ,1,0,1,1,0,0,0,0,,0,291 days
1,Αχαρνές,Αττική,2022-03-30,Μεζονέτα,"Αχαρνές,Λαθέα",150000,1531.0,98.0,2010.0,4ος,2.0,1.0,1,2022-05-19,Νεόδμητο,Γ,0,0,0,0,0,1,0,0,Κλειστό parking,1,50 days
2,Παγκράτι,Αττική,2022-02-25,Διαμέρισμα,"Αθήνα,Παγκράτι",400000,3175.0,126.0,1990.0,3ος,3.0,1.0,1,2022-06-10,Άριστη,Δ,1,0,1,1,0,1,0,0,,0,105 days
3,Αθήνα,Αττική,2022-03-21,Διαμέρισμα,"Αθήνα,Άγιος Παντελεήμονας",80000,941.0,85.0,1957.0,5ος,2.0,1.0,1,2022-03-23,Καλή,Ζ,1,0,0,1,0,0,0,1,,0,2 days
4,Ίλιον,Αττική,2022-01-11,Διαμέρισμα,"Αθήνα,Άγιος Ελευθέριος",100000,2083.0,48.0,1996.0,1ος,1.0,1.0,1,2022-04-14,Καλή,Δ,1,0,0,1,0,0,0,0,,0,93 days
5,Αθήνα,Αττική,2019-12-04,Διαμέρισμα,"Αθήνα,Πλατεία Αμερικής",133000,1385.0,96.0,1964.0,3ος,2.0,1.0,1,2022-03-30,Ανακαινισμένο,Εκρεμμεί,1,0,0,1,0,0,0,0,,0,847 days
6,Γαλάτσι,Αττική,2020-09-11,Διαμέρισμα,"Αθήνα,Άνω Κυψέλη",35000,522.0,67.0,1970.0,Ημιυπόγειο,2.0,1.0,1,2022-03-17,Καλή,Ε,0,0,0,0,0,0,0,0,,0,552 days
8,Αθήνα,Αττική,2022-02-14,Διαμέρισμα,"Αθήνα,Προφήτης Ηλίας",130000,1733.0,75.0,1972.0,1ος,2.0,2.0,1,2022-06-10,Ανακαινισμένο,Δ,0,0,1,1,0,0,0,0,,0,116 days
9,Δάφνη,Αττική,2022-04-11,Κτίριο,"Αθήνα,Κυνοσάργους",450000,1331.0,338.0,2002.0,'Αλλο,3.0,2.0,1,2022-04-22,Καλή,Εκρεμμεί,0,1,1,1,1,1,0,0,"Κλειστό parking, Υπόγειο parking",1,11 days
10,Χαϊδάρι,Αττική,2022-03-23,Διαμέρισμα,"Περιστέρι,Νέα Ζωή",110000,1250.0,88.0,1982.0,1ος,2.0,1.0,1,2022-03-24,Άριστη,Ε,1,0,1,0,0,0,0,0,,0,1 days
11,Καλλιθέα,Αττική,2022-03-09,Διαμέρισμα,"Νέα Σμύρνη,Κέντρο",220000,2558.0,86.0,2002.0,2ος,2.0,1.0,1,2022-04-15,Άριστη,Γ,1,0,1,1,0,0,1,0,Parking πιλωτής,1,37 days
12,Αργυρούπολη,Αττική,2022-05-13,Διαμέρισμα,Αργυρούπολη,260000,2737.0,95.0,1985.0,2ος,2.0,1.0,1,2022-06-10,Άριστη,Γ,0,0,0,0,0,0,0,0,,0,28 days
13,Περιστέρι,Αττική,2022-05-09,Διαμέρισμα,"Αθήνα,Κολοκυνθού",130000,1300.0,100.0,1977.0,2ος,2.0,2.0,1,2022-05-14,,Ζ,0,1,1,0,0,0,1,0,,0,5 days
14,Κρωπία,Αττική,2019-11-11,Μονοκατοικία,Δ. Κρωπίας,310000,1632.0,190.0,2007.0,Ισόγειο,3.0,1.0,1,2022-06-10,Νεόδμητο,,1,1,1,1,0,0,1,0,,0,942 days
16,Νέα Ιωνία,Αττική,2019-07-29,Μονοκατοικία,"Νέα Ιωνία,Ελευθερούπολη",120000,1091.0,110.0,1925.0,Υπερυψωμένο,2.0,1.0,0,,,,0,1,0,0,0,0,0,0,,0,
17,Μοσχάτο - Ταύρος,Αττική,2021-06-02,Διαμέρισμα,"Καλλιθέα,Λόφος Φιλαρέτου",120000,1412.0,85.0,1970.0,3ος,2.0,1.0,1,2022-05-10,Χρήζει ανακαίνισης,Εκρεμμεί,1,0,1,0,1,0,0,0,,0,342 days
18,Αχαρνές,Αττική,2022-03-02,Μεζονέτα,"Κηφισιά,Κέντρο",1450000,2984.0,486.0,,'Αλλο,,,1,2022-04-16,Νεόδμητο,Εκρεμμεί,0,0,0,0,0,0,0,0,,0,45 days
19,Βάρη - Βούλα - Βουλιαγμένη,Αττική,2019-11-30,Μεζονέτα,"Βούλα,Κάτω Βούλα",1500000,6522.0,230.0,2018.0,2ος,3.0,3.0,1,2022-06-10,Ανακαινισμένο,Μη αποδοτικό,1,1,1,1,1,1,1,0,,0,923 days
20,Νίκαια,Αττική,2022-04-21,Διαμέρισμα,"Κορυδαλλός,Πλατεία Ελευθερίας",85000,944.0,90.0,,Ισόγειο,2.0,1.0,1,2022-05-17,Ανακαινισμένο,Ζ,0,0,0,1,0,0,0,0,,0,26 days
21,Πειραιάς,Αττική,2019-08-08,Κτίριο,"Πειραιάς,Καστέλα (Προφήτης Ηλίας)",360000,1324.0,272.0,1976.0,Ισόγειο,6.0,3.0,1,2022-05-17,Άλλη κατάσταση,,0,0,0,0,0,0,0,0,,0,1013 days
22,Ζωγράφου,Αττική,2022-04-15,Διαμέρισμα,"Αθήνα,Ιπποκράτειο",85000,1545.0,55.0,1966.0,1ος,1.0,1.0,1,2022-05-07,Καλή,Ζ,0,0,0,0,0,0,0,1,,0,22 days
23,Βάρη - Βούλα - Βουλιαγμένη,Αττική,2021-05-06,Μονοκατοικία,"Βούλα,Κάτω Βούλα",1300000,5200.0,250.0,2017.0,Ισόγειο,4.0,4.0,1,2022-06-08,Άριστη,Ζ,1,1,1,1,0,1,0,0,Υπόγειο parking,1,398 days
24,Ζωγράφου,Αττική,2022-04-13,Διαμέρισμα,"Καισαριανή,Νήαρ Ηστ",120000,3000.0,40.0,2008.0,5ος,1.0,1.0,1,2022-06-10,Νεόδμητο,Γ,1,0,1,1,1,0,0,1,,0,58 days
25,Νίκαια,Αττική,2022-06-02,Διαμέρισμα,"Νίκαια,Άγιος Γεώργιος",95000,1979.0,48.0,2012.0,1ος,1.0,1.0,1,2022-06-10,Ημιτελές,Γ,0,0,0,0,0,0,0,0,,0,8 days
26,Χαλάνδρι,Αττική,2022-05-26,Μεζονέτα,"Αγία Παρασκευή,Πευκάκια",585000,3503.0,167.0,2022.0,'Αλλο,3.0,2.0,1,2022-06-10,Υπο κατασκευή,Β+,1,1,1,1,1,1,0,0,,0,15 days
27,Χαλάνδρι,Αττική,2018-07-31,Διαμέρισμα,"Βριλήσσια,Κέντρο",400000,2703.0,148.0,1994.0,4ος,3.0,,1,2022-05-30,Ανακαινισμένο,,1,0,0,0,0,0,0,0,,0,1399 days
28,Αθήνα,Αττική,2022-03-01,Διαμέρισμα,"Αθήνα,Μακρυγιάννη (Ακρόπολη)",1380000,12000.0,115.0,1962.0,4ος,2.0,1.0,1,2022-04-15,Ανακαινισμένο,Ε,1,0,1,1,1,0,0,0,,0,45 days
29,Νίκαια,Αττική,2021-09-04,Διαμέρισμα,"Νίκαια,Τουρκοβούνια",50000,965.0,52.0,1996.0,1ος,1.0,1.0,1,2022-04-14,Άλλη κατάσταση,Η,0,0,1,0,0,0,0,0,,0,222 days
30,Αχαρνές,Αττική,2022-03-03,Μεζονέτα,Θρακομακεδόνες,700000,2333.0,300.0,1999.0,'Αλλο,,,1,2022-03-17,Καλή,Γ,0,0,0,0,0,0,0,0,,0,14 days
31,Αθήνα,Αττική,2022-02-04,Διαμέρισμα,"Αθήνα,Πεδίον Άρεως",350000,3465.0,101.0,2021.0,5ος,3.0,2.0,1,2022-05-16,Νεόδμητο,Β+,1,1,0,1,1,0,0,0,,0,101 days
32,Αθήνα,Αττική,2022-04-04,Διαμέρισμα,"Αθήνα,Άγιος Αρτέμιος",250000,2778.0,90.0,2005.0,3ος,2.0,1.0,1,2022-04-05,Νεόδμητο,Δ,1,0,0,0,0,1,1,0,,0,1 days
34,Ηλιούπολη,Αττική,2022-05-13,Διαμέρισμα,"Ηλιούπολη,Κάτω Ηλιούπολη",190000,1545.0,123.0,1964.0,1ος,3.0,1.0,1,2022-05-14,Καλή,Δ,0,0,1,0,0,0,0,0,,0,1 days
35,Ζωγράφου,Αττική,2022-04-28,Διαμέρισμα,"Ζωγράφου,Κέντρο",64000,1231.0,52.0,1971.0,Ισόγειο,1.0,1.0,1,2022-05-07,Καλή,Ε,0,0,0,0,0,0,0,0,,0,9 days
36,Πειραιάς,Αττική,2019-11-14,Διαμέρισμα,"Πειραιάς,Κέντρο",176000,2000.0,88.0,1965.0,2ος,2.0,1.0,1,2022-06-10,Καλή,Η,0,0,0,0,1,0,0,0,,0,939 days
